id,orderId,productId,unitPrice,quantity
1,1,11,14,12
2,1,42,9.8,10
3,1,72,34.8,5
4,2,14,18.6,9
5,2,51,42.4,40
6,3,41,7.7,10
7,3,51,42.4,35
8,3,65,16.8,15
9,4,22,16.8,6
10,4,57,15.6,15
11,4,65,16.8,20
12,5,20,64.8,40
13,5,33,2,25
14,5,60,27.2,40
15,6,31,10,20
16,6,39,14.4,42
17,6,49,16,40
18,7,24,3.6,15
19,7,55,19.2,21
20,7,74,8,21
21,8,2,15.2,20
22,8,16,13.9,35
23,8,36,15.2,25
24,8,59,44,30
25,9,53,26.2,15
26,9,77,10.4,12
27,10,27,35.1,25
28,10,39,14.4,6
29,10,77,10.4,15
30,11,2,15.2,50
31,11,5,17,65
32,11,32,25.6,6
33,12,21,8,10
34,12,37,20.8,1
35,13,41,7.7,16
36,13,57,15.6,50
37,13,62,39.4,15
38,13,70,12,21
39,14,21,8,20
40,14,35,14.4,20
41,15,5,17,12
42,15,7,24,15
43,15,56,30.4,2
44,16,16,13.9,60
45,16,24,3.6,28
46,16,30,20.7,60
47,16,74,8,36
48,17,2,15.2,35
49,17,41,7.7,25
50,18,17,31.2,30
51,18,70,12,20
52,19,12,30.4,12
53,20,40,14.7,50
54,20,59,44,70
55,20,76,14.4,15
56,21,29,99,10
57,21,72,27.8,4
58,22,33,2,60
59,22,72,27.8,20
60,23,36,15.2,30
61,23,43,36.8,25
62,24,33,2,24
63,25,20,64.8,6
64,25,31,10,40
65,25,72,27.8,24
66,26,10,24.8,24
67,26,31,10,15
68,26,33,2,20
69,26,40,14.7,60
70,26,76,14.4,33
71,27,71,17.2,20
72,27,72,27.8,7
73,28,24,3.6,12
74,28,59,44,6
75,29,10,24.8,15
76,29,13,4.8,10
77,30,28,36.4,20
78,30,62,39.4,12
79,31,44,15.5,16
80,31,59,44,15
81,31,63,35.1,8
82,31,73,12,25
83,32,17,31.2,15
84,33,24,3.6,12
85,33,55,19.2,20
86,33,75,6.2,30
87,34,19,7.3,1
88,34,24,3.6,6
89,34,35,14.4,4
90,35,30,20.7,6
91,35,57,15.6,2
92,36,15,12.4,20
93,36,19,7.3,18
94,36,60,27.2,35
95,36,72,27.8,3
96,37,27,35.1,15
97,37,44,15.5,21
98,37,60,27.2,20
99,37,67,11.2,5
100,38,1,14.4,45
101,38,40,14.7,40
102,38,53,26.2,36
103,39,35,14.4,100
104,39,62,39.4,40
105,40,16,13.9,40
106,40,34,11.2,20
107,40,46,9.6,15
108,41,54,5.9,10
109,41,68,10,3
110,42,3,8,30
111,42,64,26.6,9
112,43,5,17,20
113,43,29,99,15
114,43,49,16,15
115,43,77,10.4,10
116,44,13,4.8,20
117,44,44,15.5,24
118,44,51,42.4,2
119,45,20,64.8,20
120,46,18,50,12
121,46,24,3.6,10
122,46,63,35.1,5
123,46,75,6.2,6
124,47,1,14.4,18
125,47,17,31.2,15
126,47,43,36.8,15
127,47,60,27.2,21
128,47,75,6.2,6
129,48,56,30.4,4
130,49,11,16.8,12
131,49,16,13.9,30
132,49,69,28.8,15
133,50,39,14.4,60
134,50,72,27.8,20
135,51,2,15.2,40
136,51,36,15.2,40
137,51,59,44,30
138,51,62,39.4,15
139,52,19,7.3,15
140,52,70,12,20
141,53,66,13.6,30
142,53,68,10,20
143,54,40,14.7,10
144,54,56,30.4,20
145,55,17,31.2,40
146,55,28,36.4,28
147,55,43,36.8,12
148,56,40,14.7,40
149,56,65,16.8,30
150,56,68,10,15
151,57,49,16,30
152,57,59,44,10
153,57,71,17.2,2
154,58,18,50,25
155,58,29,99,25
156,58,39,14.4,30
157,59,30,20.7,10
158,59,53,26.2,10
159,59,54,5.9,5
160,60,62,39.4,10
161,60,68,10,3
162,61,69,28.8,1
163,61,70,12,5
164,62,4,17.6,20
165,62,6,20,30
166,62,42,11.2,2
167,62,43,36.8,20
168,62,71,17.2,3
169,63,16,13.9,10
170,63,62,39.4,5
171,64,42,11.2,6
172,64,69,28.8,7
173,65,28,36.4,4
174,65,43,36.8,24
175,65,53,26.2,20
176,65,75,6.2,10
177,66,36,15.2,12
178,67,32,25.6,40
179,67,58,10.6,30
180,67,62,39.4,25
181,68,34,11.2,14
182,68,70,12,30
183,69,41,7.7,10
184,69,62,39.4,70
185,70,1,14.4,20
